iter	F1	Logloss
0	0.6110503458	0.6881732322
1	0.6110503458	0.6837846271
2	0.6110076265	0.6801022784
3	0.6110458656	0.6770936848
4	0.6204692021	0.6746845354
5	0.6110906702	0.6723624545
6	0.6094523718	0.6705701345
7	0.6116806421	0.6687435363
8	0.6130627048	0.667131628
9	0.6137637481	0.6657955683
10	0.6104131532	0.6646745149
11	0.6119477795	0.6635148553
12	0.6124128173	0.6625319467
13	0.6129551218	0.6616124978
14	0.6140335613	0.6608544075
15	0.6123723408	0.6602365996
16	0.6127504749	0.6596301124
17	0.6132909124	0.659052946
18	0.6121525744	0.6585698718
19	0.6110859974	0.6581640723
20	0.612548775	0.6577508093
21	0.6126701761	0.6573742964
22	0.6137801331	0.6569401256
23	0.6134520058	0.6565498881
24	0.6133025408	0.6561987847
25	0.6131558371	0.6558459952
26	0.6140394461	0.6555567382
27	0.6133474407	0.6551958486
28	0.6125103388	0.6549456581
29	0.6136205846	0.6546335261
30	0.6136593495	0.654342082
31	0.613724048	0.6540463417
32	0.6137726438	0.6538099071
33	0.6144679114	0.6535374354
34	0.6155211767	0.6532930587
35	0.6152458297	0.6530735081
36	0.6155193511	0.6528322369
37	0.6154465486	0.6525413667
38	0.6155250061	0.652350169
39	0.6158186281	0.6521557904
40	0.6160805141	0.6518833565
41	0.6164600451	0.6517100663
42	0.6170192712	0.6515037624
43	0.6175243929	0.6513053913
44	0.6176675597	0.6510308151
45	0.6178031109	0.6508401332
46	0.617837185	0.6506202913
47	0.618138963	0.6504317506
48	0.618199456	0.6502009813
49	0.6181881235	0.6500365574
50	0.6182280834	0.6498231123
51	0.617974895	0.6496869233
52	0.6181586446	0.6494957816
53	0.6182054168	0.6493289073
54	0.6184861928	0.6491779888
55	0.6185993999	0.6490238366
56	0.6184418932	0.6488926324
57	0.6187751588	0.6487216236
58	0.6185048382	0.6485546725
59	0.6182708384	0.6484136202
60	0.6189231556	0.6482192123
61	0.6192006635	0.6480985416
62	0.6196659518	0.6479103768
63	0.6202705277	0.6477534702
64	0.6206036776	0.6475906267
65	0.6201811431	0.6474455148
66	0.6200457893	0.6472841144
67	0.6199294964	0.6471810096
68	0.6199677814	0.6470467261
69	0.6200878579	0.6467341753
70	0.6197672725	0.6466241939
71	0.6202255603	0.6464195744
72	0.6202301514	0.6463251538
73	0.620058022	0.6462339585
74	0.6199546727	0.6461184548
75	0.6202961292	0.6459347912
76	0.6202961292	0.6457518433
77	0.6205273562	0.6456097887
78	0.620693554	0.6454547854
79	0.6206777926	0.6452514344
80	0.6209275758	0.6450775574
81	0.6210426769	0.6448996368
82	0.6205271756	0.6448313158
83	0.6205271756	0.6447465053
84	0.62107433	0.6445688142
85	0.6212694935	0.644455201
86	0.6214543241	0.6443364463
87	0.6218761583	0.6442495522
88	0.6223442672	0.6441247988
89	0.6222612564	0.6440103014
90	0.6224783789	0.6438699829
91	0.6222001891	0.6438208218
92	0.6220098908	0.6437378702
93	0.6226214292	0.6435980694
94	0.6227740522	0.6435411199
95	0.6221525244	0.6433998353
96	0.6218001508	0.6433244161
97	0.6222675669	0.6432212722
98	0.6222864004	0.6431138557
99	0.6224899564	0.6430080614
100	0.6227357267	0.6429953691
101	0.6229164763	0.6429158928
102	0.6235326924	0.6427569329
103	0.6235696935	0.6425845914
104	0.6237735428	0.64248986
105	0.6235465673	0.6424013242
106	0.6238198051	0.642266891
107	0.6239216675	0.6420740233
108	0.6244077657	0.6419377047
109	0.6245049693	0.6417894244
110	0.6245837631	0.6416427156
111	0.6246624561	0.6415829095
112	0.6247272401	0.6414782113
113	0.6251854151	0.6413729
114	0.6254908478	0.6412914439
115	0.6254354157	0.6412162706
116	0.6252365929	0.6411153157
117	0.62532452	0.6410339483
118	0.6256068139	0.640906024
119	0.6256856954	0.6407532611
120	0.6259818894	0.6406381665
121	0.6259450612	0.6405290174
122	0.6259964556	0.6403950455
123	0.6265923009	0.6402446884
124	0.6266480534	0.6401766977
125	0.6268980938	0.6400893829
126	0.6268516125	0.6400169972
127	0.6270226131	0.6399151654
128	0.6267409964	0.6398107272
129	0.6273883463	0.6396536044
130	0.6274482365	0.6395371828
131	0.627443585	0.6394846639
132	0.62752267	0.6393451673
133	0.6276383876	0.6392783199
134	0.6277308347	0.6391845705
135	0.6279296751	0.6389756745
136	0.6279988262	0.6389126208
137	0.6282022867	0.6386783582
138	0.629018882	0.6385571264
139	0.6288778274	0.6384082319
140	0.6287667925	0.6382868366
141	0.628508226	0.6382328438
142	0.6283839539	0.6381598916
143	0.6287319677	0.6379062405
144	0.6291669866	0.6377411496
145	0.6296263049	0.6374717706
146	0.6295936147	0.6373603155
147	0.6295749361	0.6373130103
148	0.6293256708	0.6372285048
149	0.62925657	0.6371675619
150	0.6296860286	0.6370186974
151	0.6300779152	0.6368794945
152	0.6305011492	0.6367018357
153	0.6302521988	0.6365827062
154	0.6302837994	0.6365060321
155	0.630538536	0.6363647741
156	0.6306133228	0.6362131215
157	0.631423999	0.6360850269
158	0.6317601977	0.6359441749
159	0.6315068911	0.6358855121
160	0.6322900078	0.6357480948
161	0.6325524729	0.6355907918
162	0.6324117798	0.6354468688
163	0.6320284865	0.6353140732
164	0.6320050639	0.6352685482
165	0.6323319062	0.6351428067
166	0.6322724649	0.6351184402
167	0.6325163669	0.6350192074
168	0.6326867384	0.6349115224
169	0.6325538638	0.6348397696
170	0.6326882826	0.6347075395
171	0.6328586539	0.6345583486
172	0.6328102081	0.6344487614
173	0.6328680327	0.6342846912
174	0.6332039933	0.634204044
175	0.6334758221	0.633947909
176	0.6338508763	0.6337537224
177	0.6344093719	0.6336129173
178	0.6346358133	0.6334598442
179	0.6346095165	0.6332378655
180	0.6347748823	0.6331654927
181	0.6344647809	0.6330459516
182	0.6347627054	0.6329316037
183	0.6349045599	0.6328111879
184	0.6351188934	0.6326336873
185	0.635064436	0.6325788508
186	0.6352250816	0.6324643874
187	0.6352297857	0.6323070393
188	0.6353144723	0.6320862807
189	0.6358270788	0.6319418669
190	0.6357350508	0.6318921087
191	0.6361904178	0.6318239401
192	0.6361878916	0.6317502811
193	0.6363034563	0.631695933
194	0.6365511879	0.6316278881
195	0.636786999	0.6314996379
196	0.6366030231	0.6314212101
197	0.6367138675	0.6313869465
198	0.6372326779	0.6312644294
199	0.6371195028	0.6311877675
200	0.6374731712	0.631061781
201	0.6375651093	0.6309285306
202	0.6375014801	0.6308887654
203	0.6378480909	0.630732082
204	0.6378739267	0.6306726546
205	0.6379872388	0.6304915206
206	0.6382630047	0.6302477569
207	0.6383218459	0.6301489619
208	0.6387245666	0.630040537
209	0.6390028262	0.6298856052
210	0.6389535109	0.6297518065
211	0.6390548375	0.6296952418
212	0.6392176474	0.6295395918
213	0.6391608895	0.6294557947
214	0.6393796814	0.629373401
215	0.6391845374	0.6292492684
216	0.6397753724	0.6291049006
217	0.6398387863	0.6290156082
218	0.6400479	0.6289491995
219	0.6398387863	0.6287189491
220	0.6400034491	0.6286615694
221	0.6402012202	0.628487774
222	0.6404433762	0.6283463857
223	0.6404415985	0.628246045
224	0.6400300006	0.6281426286
225	0.6405984563	0.6280625834
226	0.640577758	0.6279651517
227	0.6408926001	0.6278593635
228	0.6409968563	0.6276886325
229	0.6413605099	0.6275542821
230	0.6415155141	0.6275079702
231	0.6418933789	0.6274547731
232	0.6420672425	0.6274138807
233	0.6418316952	0.627342076
234	0.6421319115	0.6272557458
235	0.6422757639	0.6271048592
236	0.6425886572	0.6270313578
237	0.6426612862	0.6268992779
238	0.6424006379	0.6268104586
239	0.6426029041	0.6266838149
240	0.6424134504	0.626623144
241	0.642528854	0.6265279872
242	0.6426727627	0.6264667503
243	0.6425730077	0.6263948054
244	0.6424371954	0.6262737797
245	0.6427196582	0.6261687409
246	0.6428160156	0.6260427635
247	0.6428492654	0.6259881587
248	0.642926619	0.6259527622
