iter	Passed	Remaining
0	74	37345
1	244	60853
2	445	73787
3	611	75854
4	639	63299
5	788	64917
6	944	66504
7	1143	70321
8	1212	66141
9	1374	67342
10	1506	66964
11	1656	67377
12	1778	66636
13	1885	65450
14	2006	64864
15	2045	61868
16	2169	61625
17	2225	59603
18	2390	60517
19	2540	60968
20	2653	60529
21	2813	61136
22	2967	61547
23	3117	61823
24	3192	60660
25	3288	59954
26	3415	59836
27	3594	60599
28	3723	60474
29	3840	60165
30	3938	59586
31	4036	59034
32	4132	58478
33	4232	58012
34	4328	57504
35	4418	56945
36	4513	56477
37	4613	56088
38	4708	55657
39	4801	55222
40	4910	54976
41	5036	54918
42	5130	54523
43	5232	54223
44	5338	53979
45	5447	53764
46	5557	53563
47	5686	53546
48	5799	53379
49	5931	53381
50	6059	53351
51	6218	53575
52	6445	54358
53	6620	54678
54	6867	55564
55	7047	55874
56	7230	56191
57	7366	56141
58	7534	56317
59	7652	56118
60	7832	56371
61	7984	56408
62	8158	56589
63	8324	56708
64	8506	56928
65	8665	56982
66	8845	57164
67	9011	57248
68	9179	57340
69	9377	57602
70	9562	57780
71	9700	57661
72	9868	57725
73	10025	57711
74	10206	57834
75	10382	57925
76	10544	57928
77	10762	58226
78	10942	58314
79	11117	58368
80	11287	58388
81	11447	58353
82	11603	58298
83	11772	58299
84	11956	58376
85	12134	58416
86	12270	58247
87	12460	58339
88	12635	58351
89	12811	58362
90	13000	58430
91	13156	58344
92	13284	58136
93	13414	57938
94	13567	57840
95	13689	57609
96	13750	57129
97	13868	56889
98	13983	56640
99	14104	56417
100	14221	56180
101	14278	55715
102	14401	55508
103	14523	55300
104	14642	55082
105	14755	54846
106	14867	54607
107	14991	54413
108	15101	54170
109	15230	54000
110	15358	53825
111	15550	53870
112	15709	53800
113	15870	53736
114	15972	53474
115	16120	53365
116	16276	53281
117	16450	53254
118	16622	53219
119	16810	53233
120	17035	53358
121	17215	53339
122	17439	53454
123	17601	53370
124	17785	53357
125	17965	53324
126	18064	53055
127	18201	52897
128	18418	52972
129	18617	52987
130	18836	53058
131	19025	53039
132	19210	53009
133	19360	52878
